song name,artist,album,track no,album artist,year
"Hum Naa Rahein Hum - Mithoon, Benny Dayal","Mithoon, Benny Dayal",Love Dose: Benny Dayal,2,Benny Dayal,2017
"Humdard - Mithoon, Arijit Singh","Mithoon, Arijit Singh",Ultimate Love Songs - Arijit Singh,6,Arijit Singh,2020
I Don't Do Personals - Ramin Djawadi,Ramin Djawadi,I Don't Do Drugs (Y2K Remix),1,"Doja Cat, Y2K",2023
"Ichu Ichu - Vijay Antony, Sangeetha Rajeshwaran","Vijay Antony, Sangeetha Rajeshwaran",Vedi (Original Motion Picture Soundtrack),2,Vijay Antony,2011
"Ignite - Alan Walker, Julie Bergan, K-391","Alan Walker, Julie Bergan, K-391",Ignite,1,"K-391, Alan Walker, Julie Bergan",2018
"In My Mind - M86, Susie Q","M86, Susie Q",In My Mind,2,"Ivan Gough, Feenixpawl, Axwell",2012
"In The End (Mellen Gi Remix) - Tommee Profitt, Fleurie, Mellen Gi","Tommee Profitt, Fleurie, Mellen Gi",In The End,2,Tommee Profitt,2019
Industry - Mire Kay,Mire Kay,Fortress,4,Mire Kay,2011
"Innum Konjam Naeram - Shweta Mohan, Vijay Prakash, AR Rahman","Shweta Mohan, Vijay Prakash, AR Rahman",Maryan (Original Motion Picture Soundtrack),2,A.R. Rahman,2013
Invisible - Julius Dreisig & Zeus X Crona,Julius Dreisig & Zeus X Crona,Invisible,1,"Zeus X Crona, Julius Dreisig",2018
"Jeevamshamayi - Duet - KS Harisankar, Shreya Ghoshal","Duet - KS Harisankar, Shreya Ghoshal","Jeevamshamayi (From ""Theevandi"")",1,"K. S. Harisankar, Shreya Ghoshal, Kailas",2018
"Jingunamani - Ranjith, Sunidhi Chauhan, D Imman","Ranjith, Sunidhi Chauhan, D Imman",Jilla (Original Music Picture Soundtrack),3,D. Imman,2013
"Jiya Jale - Lata Mangeshkar, MG Sreekumar","Lata Mangeshkar, MG Sreekumar",Lata Mangeshkar - The Nightingale of India,11,Lata Mangeshkar,2016
K - Cigarettes After Sex,Cigarettes After Sex,Cigarettes After Sex,4,Cigarettes After Sex,2017
"Kabhi Alvida Naa Kehna - Shankar-Ehsaan-Loy, Sonu Nigam, Alka Yagnik","Shankar-Ehsaan-Loy, Sonu Nigam, Alka Yagnik",Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),1,Shankar-Ehsaan-Loy,2006
"Kal Ho Naa Ho - Shankar-Ehsaan-Loy, Sonu Nigam","Shankar-Ehsaan-Loy, Sonu Nigam",Kal Ho Naa Ho (Original Motion Picture Soundtrack),1,Shankar-Ehsaan-Loy,2003
"Kalasala Kalasala - Thaman S, L R Eswari, T Rajendar, Solar Sai","Thaman S, L R Eswari, T Rajendar, Solar Sai",Osthe (Original Motion Picture Soundtrack),5,Thaman S,2011
"Kesariya - Pritam, Arijit Singh, Amitabh Bhattacharya","Pritam, Arijit Singh, Amitabh Bhattacharya",Brahmastra (Original Motion Picture Soundtrack),1,"Pritam, Amitabh Bhattacharya",2022
"Koi Tumsa Nahin - Sonu Nigam, Shreya Ghoshal","Sonu Nigam, Shreya Ghoshal",Krrish,2,Rajesh Roshan,2006
La Calin (CallmeArco Remix) - Serhat Durmus,Serhat Durmus,La Câlin,1,Serhat Durmus,2017
Let Her Go - Passenger,Passenger,All The Little Lights,2,Passenger,2012
Love Me Like You Do - Ellie Goulding,Ellie Goulding,Fifty Shades Freed (Original Motion Picture Soundtrack),17,Various Artists,2018
Lungi Dance - Yo Yo Honey Singh,Yo Yo Honey Singh,Lungi Dance,1,Yo Yo Honey Singh,2013
"Lívstræðrir - John Lunn, Eivør","John Lunn, Eivør",Hvítserkur,2,Haltura Arnadottir,2022
MAYDAY - TheFatRat,TheFatRat,MAYDAY,1,"TheFatRat, Laura Brehm",2018
Magenta Riddim - DJ Snake,DJ Snake,Carte Blanche,13,DJ Snake,2019
"Main Tera Boyfriend - Arijit Singh, Neha Kakkar","Arijit Singh, Neha Kakkar",Groove With Arijit Singh,2,Arijit Singh,2019
"Malai Mangum Neram (Female Unplugged) - Deepthi Balasubramanian, Aakash Srinivasan","Deepthi Balasubramanian, Aakash Srinivasan",Malai Mangum Neram (Female Unplugged),1,"Deepthi Balasubramanian, Aakash Srinivasan",2022
Malai Mangum Neram - Prakash Nikki,Prakash Nikki,Malai Mangum Neram - Male Version (Unplugged),1,Arul Pragasam,2022
